barcode,quantity,serving_quantity,energy-kcal_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,fruits_vegetables_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,nutri_score,nutri_grade,co2_total,ef_total3017620422003,400,15,539,57.5,56.3,30.9,10.6,13,0,6.3,0.107,0.0428,0,26,e,9.8742343,0.74366703
7622210449283,300,20,465,69,32,17,5.6,0,4,6.4,0.58,0.232,0,15,d,7.5508182,0.61611724
5449000000996,330,330,42,10.6,10.6,0,0,0,0,0,0,0,0,14,e,1,0.25
3017620425035,1000,15,539,57.5,56.3,30.9,10.6,13,0,6.3,0.107,0.0428,0,26,e,9.8742343,0.74366703
7613034626844,430,30,385,73,25,4.6,1.3,0,8,8.6,0.22,0.088,0.483,0,b,3.4585877,0.42581268
3501890002152,100,100,30,2,0,1.2,0,0,0,2.8,1,0.4,0,3,c,6.9029432,1.2382629
3228857000166,500,50,241,39.7,4.3,4.3,0.4,0,7.1,7.2,1.09,0.436,0,-2,a,2.1778077,0.21814302
8000500310427,304,13,513,63.3,34.7,24.5,11.8,13,0,8.4,0.529,0.2116,0,25,e,4.4447267,0.44895118
3175680011480,230,22,484,58,19,22,2.2,14.3,4.9,11,0.61,0.244,0.35,9,c,4.4447267,0.44895118
3229820129488,375,100,341,59,13,6.3,1,23,9.8,12,0.03,0.012,0,-4,a,1.8802469,0.19159438
8001505005592,270,15,0,54,51,32,5.7,18.5,3.6,8.1,0.12,0.048,0,18,d,9.8742343,0.74366703
3228857000852,500,25,268,48.5,7.7,4.3,0.4,0,3.8,7,1.13,0.452,0,1,b,1.3729331,0.16126967
3033710065967,1000,0,376,79,75,3,1.5,0,6.5,5,0.4,0.16,0.038,1,b,1.5443847,0.14072384
3229820019307,500,40,362,58,1.7,7.1,1.3,0,11,11,0.02,0.008,0,-5,a,3.4585877,0.42581268
3046920022651,100,10,566,34,29,41,24,0,0,9.5,0.1,0.04,0,23,e,18.5841,1.2933437
3229820100234,225,0,478,65,27,20,7,0,4.8,7.1,0.5,0.2,0,13,d,7.5508182,0.61611724
5010477348678,750,45,362,59.6,17.2,7.2,2,60,8.8,10.2,0.03,0.012,0,-2,a,1.8802469,0.19159438
3256540000698,350,35,0,55,11,13,4.6,0.545454545454545,1.4,9.3,1.1,0.44,0,13,d,3.5465768,0.35104554
3175680011534,230,230,449,61,22,17,2.7,8.3,5.9,10,0.68,0.272,0.253,9,c,7.5508182,0.61611724
3268840001008,500,100,0,0,0,4,0,0,0,0,0.0275,0.011,6.4e-05,0,a,1,0.25
3033710065066,250,219,72,9.8,9.5,1.8,1.1,0,0.5,3.6,0.14,0.056,0,11,d,1.5443847,0.14072384
3046920022606,100,10,584,19,11,46,28,0,0,12.5,0.02,0.008,0,19,e,18.5841,1.2933437
3168930010265,450,45,462,57,12,19,2,10.7,10,8.5,0,0,0,-2,a,1.8802469,0.19159438
3760049790214,500,35,281,50,6,4.8,0.4,0,4.4,7.1,1.5,0.6,0,2,b,2.1778077,0.21814302
5010477348357,550,45,469,58.3,17.5,20.3,2.6,14,6.1,10.2,0.03,0.012,0,0,b,1.8802469,0.19159438
3175681851849,230,14,453,62,11,17,1.5,10.6,6.6,9.8,0.01,0.004,0,-2,a,3.4585877,0.42581268
3392460480827,300,8,404,68,3.2,8,2.4,0,5.2,14,1.61,0.644,0,9,c,0.86654173,0.13607987
3760020507350,350,15,625,12,5.1,50,9.7,100,5.5,29,0,0,0,2,b,3.3144125,0.45377443
